candidate,reference,horizon,site_id,effect
DampedPriorOnly,DampedPersistence,1,01542500,0.0
DampedPriorOnly,DampedPersistence,1,01549700,0.0
DampedPriorOnly,DampedPersistence,1,02110701,0.0
DampedPriorOnly,DampedPersistence,1,02176930,0.0
DampedPriorOnly,DampedPersistence,1,02266300,0.0
DampedPriorOnly,DampedPersistence,1,02330450,0.0
DampedPriorOnly,DampedPersistence,1,02334430,0.0
DampedPriorOnly,DampedPersistence,1,02334885,0.0
DampedPriorOnly,DampedPersistence,1,02336120,0.0
DampedPriorOnly,DampedPersistence,1,02336300,0.0
DampedPriorOnly,DampedPersistence,1,02336728,0.0
DampedPriorOnly,DampedPersistence,1,02397000,0.0
DampedPriorOnly,DampedPersistence,1,02455980,0.0
DampedPriorOnly,DampedPersistence,1,02458450,0.0
DampedPriorOnly,DampedPersistence,1,02474560,0.0
DampedPriorOnly,DampedPersistence,1,03007800,0.0
DampedPriorOnly,DampedPersistence,1,03034000,0.0
DampedPriorOnly,DampedPersistence,1,03036000,0.0
DampedPriorOnly,DampedPersistence,1,03047000,0.0
DampedPriorOnly,DampedPersistence,1,03077500,0.0
DampedPriorOnly,DampedPersistence,1,03105500,0.0
DampedPriorOnly,DampedPersistence,1,03106000,0.0
DampedPriorOnly,DampedPersistence,1,03301900,0.0
DampedPriorOnly,DampedPersistence,1,03353200,0.0
DampedPriorOnly,DampedPersistence,1,03456991,0.0
DampedPriorOnly,DampedPersistence,1,04027000,0.0
DampedPriorOnly,DampedPersistence,1,04043238,0.0
DampedPriorOnly,DampedPersistence,1,04043244,0.0
DampedPriorOnly,DampedPersistence,1,04067500,0.0
DampedPriorOnly,DampedPersistence,1,04077630,0.0
DampedPriorOnly,DampedPersistence,1,04124200,0.0
DampedPriorOnly,DampedPersistence,1,04125460,0.0
DampedPriorOnly,DampedPersistence,1,04137005,0.0
DampedPriorOnly,DampedPersistence,1,04176500,0.0
DampedPriorOnly,DampedPersistence,1,04208000,0.0
DampedPriorOnly,DampedPersistence,1,05054000,0.0
DampedPriorOnly,DampedPersistence,1,05057000,0.0
DampedPriorOnly,DampedPersistence,1,05289800,0.0
DampedPriorOnly,DampedPersistence,1,05331833,0.0
DampedPriorOnly,DampedPersistence,1,05370000,0.0
DampedPriorOnly,DampedPersistence,1,05382255,0.0
DampedPriorOnly,DampedPersistence,1,05382257,0.0
DampedPriorOnly,DampedPersistence,1,05406457,0.0
DampedPriorOnly,DampedPersistence,1,05458300,0.0
DampedPriorOnly,DampedPersistence,1,05517000,0.0
DampedPriorOnly,DampedPersistence,1,06036805,0.0
DampedPriorOnly,DampedPersistence,1,06036905,0.0
DampedPriorOnly,DampedPersistence,1,06036940,0.0
DampedPriorOnly,DampedPersistence,1,06041000,0.0
DampedPriorOnly,DampedPersistence,1,06623800,0.0
DampedPriorOnly,DampedPersistence,1,06894000,0.0
DampedPriorOnly,DampedPersistence,1,06934500,0.0
DampedPriorOnly,DampedPersistence,1,07106000,0.0
DampedPriorOnly,DampedPersistence,1,07178200,0.0
DampedPriorOnly,DampedPersistence,1,07194880,0.0
DampedPriorOnly,DampedPersistence,1,07332622,0.0
DampedPriorOnly,DampedPersistence,1,08048000,0.0
DampedPriorOnly,DampedPersistence,1,08052700,0.0
DampedPriorOnly,DampedPersistence,1,08065350,0.0
DampedPriorOnly,DampedPersistence,1,08070200,0.0
DampedPriorOnly,DampedPersistence,1,08123850,0.0
DampedPriorOnly,DampedPersistence,1,09136100,0.0
DampedPriorOnly,DampedPersistence,1,09144250,0.0
DampedPriorOnly,DampedPersistence,1,09149500,0.0
DampedPriorOnly,DampedPersistence,1,09163500,0.0
DampedPriorOnly,DampedPersistence,1,09180000,0.0
DampedPriorOnly,DampedPersistence,1,09261000,0.0
DampedPriorOnly,DampedPersistence,1,09302000,0.0
DampedPriorOnly,DampedPersistence,1,09380000,0.0
DampedPriorOnly,DampedPersistence,1,10129900,0.0
DampedPriorOnly,DampedPersistence,1,10301500,0.0
DampedPriorOnly,DampedPersistence,1,10351600,0.0
DampedPriorOnly,DampedPersistence,1,11262900,0.0
DampedPriorOnly,DampedPersistence,1,11467000,0.0
DampedPriorOnly,DampedPersistence,1,11507500,0.0
DampedPriorOnly,DampedPersistence,1,12056500,0.0
DampedPriorOnly,DampedPersistence,1,12115000,0.0
DampedPriorOnly,DampedPersistence,1,12117600,0.0
DampedPriorOnly,DampedPersistence,1,12210700,0.0
DampedPriorOnly,DampedPersistence,1,12212050,0.0
DampedPriorOnly,DampedPersistence,1,12213100,0.0
DampedPriorOnly,DampedPersistence,1,12363000,0.0
DampedPriorOnly,DampedPersistence,1,12398600,0.0
DampedPriorOnly,DampedPersistence,1,13018350,0.0
DampedPriorOnly,DampedPersistence,1,13154500,0.0
DampedPriorOnly,DampedPersistence,1,13317660,0.0
DampedPriorOnly,DampedPersistence,1,13342500,0.0
DampedPriorOnly,DampedPersistence,1,14091500,0.0
DampedPriorOnly,DampedPersistence,1,14150800,0.0
DampedPriorOnly,DampedPersistence,1,14151000,0.0
DampedPriorOnly,DampedPersistence,1,14152000,0.0
DampedPriorOnly,DampedPersistence,1,14153500,0.0
DampedPriorOnly,DampedPersistence,1,14154500,0.0
DampedPriorOnly,DampedPersistence,1,14159500,0.0
DampedPriorOnly,DampedPersistence,1,14161500,0.0
DampedPriorOnly,DampedPersistence,1,14179000,0.0
DampedPriorOnly,DampedPersistence,1,14185000,0.0
